geoid,name,total_population,prop_less_than_hs,prop_hs_grad,prop_some_college_associates,prop_bachelors_higher,prop_18_to_24,prop_65_years_older,prop_white,prop_black,prop_hispanic,poverty_rate,unemployment_rate,male_ratio_per_100_females,median_age,median_income,gini,median_housing_costs,prop_foreign_born_citizen,prop_undocumented,land_area,population_density
12079,"Madison County, Florida",18460,0.33499643620812547,0.40199572344975054,0.23378474697077692,0.029223093371347115,0.07600216684723728,0.20130010834236187,0.5803358613217768,0.38613217768147345,0.05514626218851571,0.2450162513542795,0.04679951690821256,114.8,43.5,37037,0.4797,526,0.042632719393282774,0.027302275189599132,715.89,25.786084454315606
12081,"Manatee County, Florida",384213,0.19601316044126185,0.366015095800271,0.3564931294755177,0.08147861428294949,0.06724134789817107,0.2698425092331597,0.8539794332831008,0.0870923159809793,0.16407045050531865,0.11615171792729553,0.058632637832397194,93.7,48.3,59009,0.4709,1053,0.12566467037814963,0.06857394205818126,892.84,430.32682227498765
12083,"Marion County, Florida",353526,0.20036672778796466,0.4381146857809635,0.3180946824470745,0.043423903983997335,0.06787619581020915,0.2863664907248689,0.8190656415652597,0.12942188127605891,0.13202706448747759,0.1561186447390008,0.08305268440998262,92.3,48.7,45371,0.4544,737,0.07567760221313284,0.027336037519164077,1663.1,212.57050087186582
12085,"Martin County, Florida",159065,0.17687007874015748,0.3243110236220472,0.41505905511811025,0.08375984251968505,0.06387325935938139,0.30600069154119386,0.8808348788231226,0.05661836356206582,0.13621475497438154,0.09660830478106434,0.04491480182948823,97.9,52.2,61133,0.5278,1009,0.09997799641655927,0.047288844183195546,752.86,211.28098185585634
12086,"Miami-Dade County, Florida",2699428,0.14089653597390453,0.29105316907325773,0.46830495839635283,0.09974533655648486,0.0859704352181277,0.159628632436205,0.7514554935341857,0.1738153416205211,0.6849321411795388,0.1685560792879084,0.05300656897422941,94.5,39.9,51347,0.5231,1343,0.5371963986444536,0.22664394086450906,2429.59,1111.0631835000966
12087,"Monroe County, Florida",75798,0.16120387548958978,0.3434343434343434,0.4083694083694084,0.08699237270665842,0.06399905010686298,0.22149660940921925,0.8803398506556901,0.07315496451093696,0.2432649937993087,0.10765455552916964,0.02796510257014855,108.8,47.7,70033,0.5049,1506,0.19094171350167552,0.09541148842977387,3737.42,20.28083544263155
12089,"Nassau County, Florida",83098,0.1271761040864944,0.4242257650723841,0.33993036466923215,0.10866776617188932,0.0656694505282919,0.21521576933259526,0.9033911766829527,0.06054297335675949,0.043069628631254665,0.10445498086596548,0.03879950650854798,98.4,45.3,69943,0.4433,1133,0.04294928879154733,0.016606897879612025,725.9,114.4758231161317
12091,"Okaloosa County, Florida",203794,0.14042783644733278,0.3329000812347685,0.4289737340915245,0.09769834822637422,0.0906062003788139,0.15724211703975582,0.7820200790994828,0.09829533744860006,0.09260822202812644,0.10582745321255778,0.04789647746500538,103,36.9,63412,0.4328,1141,0.06833861644601902,0.029721189043838386,1082.09,188.33368758606034
12093,"Okeechobee County, Florida",41144,0.2957703927492447,0.40060422960725073,0.2700906344410876,0.033534743202416915,0.08044915419016138,0.1977202022166051,0.8540248881975501,0.08297686175384017,0.25512832976861755,0.19400155551234688,0.06712145206480692,117.2,41.1,41760,0.4556,648,0.1201876336768423,0.08061928835310131,891.98,46.1265947666988
12095,"Orange County, Florida",1349746,0.11086591809315632,0.2551043849329277,0.5149842326193343,0.11904546435458159,0.1064281724116982,0.11643079512737953,0.635647744094074,0.20942977419455217,0.31644842807461554,0.14481761753692918,0.05126045099286153,96.3,35.1,58254,0.4848,1226,0.21627402489060904,0.10468339969149751,1004.31,1343.9535601557288
12097,"Osceola County, Florida",351955,0.12284567323654583,0.3486462829374302,0.4711599408409043,0.05734810298511968,0.09413419329175605,0.12961316077339433,0.7282749215098521,0.11460556036993366,0.5410890596809251,0.1471523348155304,0.05331505497846175,97.3,35.9,52279,0.4258,1172,0.20947564319302184,0.10064923072551889,1506.49,233.6258455084335
12099,"Palm Beach County, Florida",1465027,0.16957881680418488,0.27198942997357495,0.4470689748152942,0.11136277840694601,0.07594262767853426,0.2362031553002095,0.7354280842605632,0.18660679973816183,0.22384570386757377,0.1199581987226174,0.05865640608154195,94.1,44.8,63299,0.5219,1306,0.25384719872056966,0.11701422567638685,2386.53,613.8732804532102
12101,"Pasco County, Florida",524602,0.1495616992582603,0.35355360755225895,0.42295347269049227,0.07393122049898854,0.07067262419891651,0.22531747877438515,0.8693828845486674,0.05760748148119908,0.15219728479876174,0.12533882829268664,0.05725542939416669,94.8,44.5,52828,0.4517,926,0.10002630565647863,0.040388713729646475,868.02,604.3662588419622
12103,"Pinellas County, Florida",964666,0.1473533619456366,0.3358407556109342,0.40969434060947285,0.10711154183395634,0.06738809080033918,0.24341585585062603,0.8145192221971128,0.10256606949970248,0.09701492537313433,0.12035979292314646,0.05359589825609243,92.4,48.1,54090,0.4851,1044,0.12120049841084894,0.049217034704239604,607.75,1587.2743726861374
12105,"Polk County, Florida",686218,0.18358776655250159,0.3852985215909678,0.37196013975182,0.0591535721047106,0.08467134350891407,0.20159920025414665,0.7706632586146094,0.1525404463304664,0.22533364033004089,0.1551620622018076,0.059091432993594914,96.1,40.2,50584,0.4452,887,0.10026114150313749,0.05260281718054612,2010.19,341.3697212701287
12107,"Putnam County, Florida",73252,0.23608736942070274,0.4607787274453941,0.2719848053181387,0.03114909781576448,0.07187517064380494,0.22707912411947798,0.8028995795336646,0.1627532354065418,0.09991536067274613,0.23114727242942174,0.08693197854925204,98,45.1,37670,0.4584,570,0.03896139354556872,0.025132419592639108,827.22,88.55201760112183
12109,"St. Johns County, Florida",244674,0.1431451612903226,0.3055555555555556,0.4512208781362007,0.10007840501792115,0.07297873905686751,0.19714804188430318,0.884160147788486,0.054047426371416664,0.06952925116685876,0.0808381765124206,0.04617733649393047,94.8,43.7,82252,0.4667,1357,0.07237385255482806,0.02397475824975273,821.47,297.84897805154174
12111,"St. Lucie County, Florida",312947,0.16605775922059846,0.37334725121781487,0.38674321503131526,0.0738517745302714,0.07346930949969165,0.2376121196240897,0.7305262552444983,0.20159004559877552,0.18966470360795917,0.13192010148683322,0.056503084509146796,95.3,45.1,52322,0.4416,1041,0.16751718342083483,0.07031861625131412,688.13,454.77889352302617
12113,"Santa Rosa County, Florida",174755,0.1651297447994853,0.39495317749660447,0.34763028093502035,0.09228679676888984,0.08004921175359789,0.15798689594003032,0.8540528168006638,0.062132700065806415,0.05567794912878029,0.09275843323510057,0.05191615396655309,104.5,39.9,67949,0.4196,1098,0.049349088724213896,0.017905067093931505,1155.31,151.26243172828072
12115,"Sarasota County, Florida",419496,0.16056302939711012,0.37298621491446604,0.3911310413552566,0.07531971433316725,0.05741175124435036,0.3604539733394359,0.9092196349905601,0.045297213799416446,0.09183877796212599,0.08828451284398421,0.043899093913708206,91.2,56.1,62236,0.4809,1056,0.1236889028739249,0.052386673532047984,725.27,578.3997683621272
12117,"Seminole County, Florida",461402,0.10665808113329041,0.2375788795878944,0.5507533805537669,0.10500965872504829,0.08414571241563756,0.1519520938357441,0.7581523270380276,0.11960502988716998,0.21390674509429955,0.105521865965037,0.04954002046165071,93.5,39.2,66768,0.4568,1245,0.14085764691093666,0.054780863541987246,344.9,1337.7848651783127
12119,"Sumter County, Florida",125044,0.3307507347047823,0.34250601122094576,0.28105797488645473,0.04568527918781726,0.029933463420875852,0.5671443651834555,0.8900067176353923,0.07051917724960814,0.057403793864559675,0.07553341223889191,0.03722858120698178,100.1,67.4,57226,0.4354,687,0.05332522951920924,0.0193851764179009,580.35,215.46308262255533
12121,"Suwannee County, Florida",44046,0.16736526946107785,0.3520958083832335,0.4059880239520958,0.07455089820359281,0.07582981428506562,0.2051491622394769,0.8271125641374926,0.12902420197066702,0.093152613177133,0.14273713844616992,0.060003361532858984,105.7,43.3,47839,0.459,634,0.04928937928529265,0.032897425418880265,691.94,63.655808307078644
12123,"Taylor County, Florida",21870,0.33816425120772947,0.32643202208419597,0.3222912353347136,0.013112491373360938,0.0662551440329218,0.19679926840420667,0.7625971650663008,0.20105166895290352,0.0644718792866941,0.17293095564700503,0.05928853754940711,127.4,42,40306,0.4115,532,0.03246456332876086,0.014906264288980339,1232.05,17.750902966600382
12125,"Union County, Florida",15303,0.35597592433361996,0.3929492691315563,0.22184006878761822,0.029234737747205503,0.07599817029340653,0.14964386068091223,0.7363262105469516,0.21949944455335554,0.05632882441351369,0.1299091681369666,0.06874842608914632,187.4,39.3,44270,0.4873,661,0.028164412206756844,0.018558452590995228,249.72,61.28063431042768
12127,"Volusia County, Florida",536487,0.1517315082198322,0.27970167579981353,0.4865731371791082,0.08199367880124606,0.08197589130771109,0.24150258999752092,0.8139992208571689,0.10919929094274419,0.13910681899095412,0.13982445054586598,0.048632957311070805,95.1,46.6,49494,0.4594,939,0.07491514239860425,0.02823367574610382,1432.51,374.5083803952503
12129,"Wakulla County, Florida",32321,0.2736294896030246,0.30387523629489605,0.3823251417769376,0.04017013232514178,0.06546827140249374,0.14588038736425235,0.8223446056743294,0.15079978961046997,0.03728226230624052,0.1093097367036911,0.05474604496253122,118.7,40.6,61410,0.4175,855,0.024535131957550818,0.012252096160391078,735.78,43.92753268640083
12131,"Walton County, Florida",68262,0.20692862125087189,0.3561962334340851,0.3613113229481516,0.07556382236689142,0.06300723682282969,0.19498403211157012,0.8676569687380973,0.04623362925199965,0.06228941431543172,0.1285048782631625,0.04791010680990307,102.4,44,58093,0.483,953,0.06047288388854707,0.02569511587706191,1238.13,55.13314433863972
12133,"Washington County, Florida",24764,0.36107125777140125,0.36107125777140125,0.2764227642276423,0.0014347202295552368,0.08443708609271523,0.17234695525763205,0.7965191406880956,0.15199483120659021,0.03694879664028428,0.21365692133742528,0.08841201716738198,118.1,41.5,37022,0.4277,581,0.03153771603941205,0.018938782103052818,615.84,40.211743309950634
13001,"Appling County, Georgia",18440,0.20444444444444446,0.4031746031746032,0.36317460317460315,0.029206349206349208,0.08541214750542299,0.16849240780911062,0.7456616052060737,0.1931127982646421,0.0992407809110629,0.21919739696312365,0.04074816299265197,102.1,40.3,40304,0.4586,502,0.049566160520607375,0.032321041214750545,512.15,36.0050766377038
13003,"Atkinson County, Georgia",8239,0.3333333333333333,0.33700980392156865,0.30514705882352944,0.024509803921568627,0.09904114577011773,0.13557470566816363,0.7520330137152567,0.1752639883481005,0.24881660395679087,0.30125015171744146,0.07996609211641707,102.9,36.4,37197,0.4735,423,0.12550066755674233,0.10231824250515839,344.12,23.942229454841335
13005,"Bacon County, Georgia",11201,0.24717948717948718,0.39794871794871794,0.3548717948717949,0,0.08704579948218909,0.15364699580394608,0.7995714668333185,0.15186144094277296,0.08258191232925631,0.22194446924381753,0.04509530450953045,95.5,36.7,37519,0.462,519,0.03285420944558522,0.026426211945362023,285.94,39.17255368259075
13007,"Baker County, Georgia",3132,0.21585903083700442,0.5726872246696035,0.11013215859030837,0.1013215859030837,0.07247765006385697,0.23722860791826308,0.5459770114942529,0.39719029374201786,0.05491698595146871,0.2289272030651341,0.07063829787234042,95.5,46.1,32917,0.4874,599,0.05044699872286079,0.031928480204342274,349.19,8.96932901858587
13009,"Baldwin County, Georgia",45111,0.12588904694167852,0.20471787577050735,0.6402323376007587,0.029160739687055477,0.18700538671277517,0.15426392675844028,0.5374520626898096,0.42344439272017914,0.02258872558799406,0.21557934871760767,0.08141672048085043,102.3,35.5,43672,0.4639,724,0.026689720910642638,0.015960630444902573,267.52,168.6266447368421
13011,"Banks County, Georgia",18708,0.25659301496792586,0.36279401282965074,0.368496079828938,0.012116892373485389,0.07499465469317938,0.16458199700662818,0.9296557622407526,0.025978191148171906,0.06890100491768228,0.1329912336968142,0.049305299397516295,101,41.1,47811,0.4162,689,0.045862732520846695,0.03399615137908916,233.88,79.98973832734735
13013,"Barrow County, Georgia",78991,0.17970602181128498,0.39797692429271375,0.37758811443021967,0.04472893946578157,0.08009773265308706,0.12336848501728045,0.7883936144624071,0.11824131863123646,0.1090377384765353,0.12541935157169803,0.04998344075612055,96.2,35.7,62345,0.3931,1026,0.07731260523350761,0.03947285133749415,162.85,485.05373042677314
13015,"Bartow County, Georgia",104919,0.19847159153837635,0.42086609812825343,0.33890796322959355,0.04175434710377672,0.08605686291329502,0.13689608173924647,0.8374936856050859,0.10418513329330245,0.0862760796423908,0.13854497278853212,0.04724082745539684,97.6,38.1,57423,0.4388,948,0.05360325584498518,0.03563701522126593,470.56,222.96625297517852
13017,"Ben Hill County, Georgia",17033,0.1376720901126408,0.3848560700876095,0.4411764705882353,0.03629536921151439,0.0938178829331298,0.167322256795632,0.596665296776845,0.3661128397816004,0.061116655903246636,0.2891446016556097,0.057569296375266525,91.5,39.9,32229,0.4845,643,0.031820583573064054,0.02225092467562966,254.04,67.0484962997953
13019,"Berrien County, Georgia",19152,0.12738367658276126,0.5278413424866514,0.30892448512585813,0.03585049580472922,0.06845238095238096,0.17564745196324144,0.8304093567251462,0.11732456140350878,0.05069966583124478,0.23830409356725146,0.05152671755725191,96.1,39.6,40415,0.4356,578,0.03002297410192147,0.02266081871345029,457.81,41.83394858128918
